date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:57:56	29443/29443	---M-Z	200	added ('OK')	text/html	etag:%227303-5c02446628014-gzip%22	https://mannatthemes.com/dastyle/default/apps-email-read.html	C:/Users/ahmad/Desktop/AdminTemplate/mannatthemes.com/dastyle/default/apps-email-read.html	(from https://mannatthemes.com/dastyle/default/horizontal-index.html)
01:57:56	33087/33087	---M-Z	200	added ('OK')	text/html	etag:%22813f-5c02446628014-gzip%22	https://mannatthemes.com/dastyle/default/apps-chat.html	C:/Users/ahmad/Desktop/AdminTemplate/mannatthemes.com/dastyle/default/apps-chat.html	(from https://mannatthemes.com/dastyle/default/horizontal-index.html)
01:57:57	32245/32245	---M-Z	200	added ('OK')	text/html	etag:%227df5-5c02446628014-gzip%22	https://mannatthemes.com/dastyle/default/apps-contact-list.html	C:/Users/ahmad/Desktop/AdminTemplate/mannatthemes.com/dastyle/default/apps-contact-list.html	(from https://mannatthemes.com/dastyle/default/horizontal-index.html)
01:57:57	23862/23862	---M-Z	200	added ('OK')	text/html	etag:%225d36-5c02446628014-gzip%22	https://mannatthemes.com/dastyle/default/apps-calendar.html	C:/Users/ahmad/Desktop/AdminTemplate/mannatthemes.com/dastyle/default/apps-calendar.html	(from https://mannatthemes.com/dastyle/default/horizontal-index.html)
01:57:57	30380/30380	---M-Z	200	added ('OK')	text/html	etag:%2276ac-5c02446628014-gzip%22	https://mannatthemes.com/dastyle/default/apps-files.html	C:/Users/ahmad/Desktop/AdminTemplate/mannatthemes.com/dastyle/default/apps-files.html	(from https://mannatthemes.com/dastyle/default/horizontal-index.html)
01:57:58	25083/25083	---M-Z	200	added ('OK')	text/html	etag:%2261fb-5c02446628014-gzip%22	https://mannatthemes.com/dastyle/default/apps-invoice.html	C:/Users/ahmad/Desktop/AdminTemplate/mannatthemes.com/dastyle/default/apps-invoice.html	(from https://mannatthemes.com/dastyle/default/horizontal-index.html)
01:57:58	36793/36793	---M-Z	200	added ('OK')	text/html	etag:%228fb9-5c02446629f55-gzip%22	https://mannatthemes.com/dastyle/default/apps-tasks.html	C:/Users/ahmad/Desktop/AdminTemplate/mannatthemes.com/dastyle/default/apps-tasks.html	(from https://mannatthemes.com/dastyle/default/horizontal-index.html)
01:57:58	43349/43349	---M-Z	200	added ('OK')	text/html	etag:%22a955-5c02446628014-gzip%22	https://mannatthemes.com/dastyle/default/apps-project-overview.html	C:/Users/ahmad/Desktop/AdminTemplate/mannatthemes.com/dastyle/default/apps-project-overview.html	(from https://mannatthemes.com/dastyle/default/horizontal-index.html)
01:57:59	41649/41649	---M-Z	200	added ('OK')	text/html	etag:%22a2b1-5c02446628014-gzip%22	https://mannatthemes.com/dastyle/default/apps-project-projects.html	C:/Users/ahmad/Desktop/AdminTemplate/mannatthemes.com/dastyle/default/apps-project-projects.html	(from https://mannatthemes.com/dastyle/default/horizontal-index.html)
01:57:59	46220/46220	---M-Z	200	added ('OK')	text/html	etag:%22b48c-5c02446628014-gzip%22	https://mannatthemes.com/dastyle/default/apps-project-board.html	C:/Users/ahmad/Desktop/AdminTemplate/mannatthemes.com/dastyle/default/apps-project-board.html	(from https://mannatthemes.com/dastyle/default/horizontal-index.html)
01:57:59	36290/36290	---M-Z	200	added ('OK')	text/html	etag:%228dc2-5c02446629f55-gzip%22	https://mannatthemes.com/dastyle/default/apps-project-teams.html	C:/Users/ahmad/Desktop/AdminTemplate/mannatthemes.com/dastyle/default/apps-project-teams.html	(from https://mannatthemes.com/dastyle/default/horizontal-index.html)
01:58:00	30384/30384	---M-Z	200	added ('OK')	text/html	etag:%2276b0-5c02446628014-gzip%22	https://mannatthemes.com/dastyle/default/apps-project-files.html	C:/Users/ahmad/Desktop/AdminTemplate/mannatthemes.com/dastyle/default/apps-project-files.html	(from https://mannatthemes.com/dastyle/default/horizontal-index.html)
01:58:00	24425/24425	---M-Z	200	added ('OK')	text/html	etag:%225f69-5c02446628014-gzip%22	https://mannatthemes.com/dastyle/default/apps-new-project.html	C:/Users/ahmad/Desktop/AdminTemplate/mannatthemes.com/dastyle/default/apps-new-project.html	(from https://mannatthemes.com/dastyle/default/horizontal-index.html)
01:58:00	29588/29588	---M-Z	200	added ('OK')	text/html	etag:%227394-5c02446628014-gzip%22	https://mannatthemes.com/dastyle/default/apps-ecommerce-products.html	C:/Users/ahmad/Desktop/AdminTemplate/mannatthemes.com/dastyle/default/apps-ecommerce-products.html	(from https://mannatthemes.com/dastyle/default/horizontal-index.html)
